#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_AVHW01000099.1/97974-98089                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.43   0.0  104.1   2.7e-24 !   -
NZ_GG770745.1/204336-204451                  -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0  100.9     2e-23 !   -
NZ_AVKO01000416.1/15893-16008                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   99.1   5.9e-23 !   -
NZ_CM000659.1/3614341-3614456                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   99.1   5.9e-23 !   -
NZ_AVHE01000051.1/43074-43189                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   99.1   5.9e-23 !   -
NZ_JH379192.1/64662-64777                    -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   99.1   5.9e-23 !   -
NZ_CM000287.1/3681066-3681181                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   99.1   5.9e-23 !   -
NZ_HF924369.1/27750-27865                    -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.42   0.0   97.0   2.3e-22 !   -
NZ_AVMQ01000052.1/28956-29071                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.42   0.0   97.0   2.3e-22 !   -
NZ_AVGX01000232.1/11919-12034                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.40   0.0   96.8   2.6e-22 !   -
NZ_HF929972.1/27686-27801                    -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   96.2   3.7e-22 !   -
NZ_AVLR01000171.1/15899-16014                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   96.2   3.7e-22 !   -
NZ_CM000637.1/3661869-3661984                -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   92.5   3.7e-21 !   -
NZ_HF927465.1/135971-136086                  -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.41   0.0   91.1   8.9e-21 !   -
NZ_FR888937.1/13956-13845                    -         FMN                  RF00050    cm        1      140        1      112      +    no    1 0.51   0.0   82.6   1.8e-18 !   -
scaffold23466_4_MH0038/1068-1180             -         FMN                  RF00050    cm        1      140        1      113      +    no    1 0.54   0.0   81.9   2.8e-18 !   -
C2510259_1_MH0052/307-195                    -         FMN                  RF00050    cm        1      140        1      113      +    no    1 0.54   0.0   81.9   2.8e-18 !   -
scaffold79313_1_MH0053/256-368               -         FMN                  RF00050    cm        1      140        1      113      +    no    1 0.54   0.0   81.9   2.8e-18 !   -
scaffold52857_1_MH0054/843-955               -         FMN                  RF00050    cm        1      140        1      113      +    no    1 0.55   0.0   81.8   3.1e-18 !   -
NZ_KB822565.1/583362-583475                  -         FMN                  RF00050    cm        1      140        1      114      +    no    1 0.41   0.0   81.6   3.5e-18 !   -
scaffold70745_2_MH0028/423-535               -         FMN                  RF00050    cm        1      140        1      113      +    no    1 0.53   0.0   80.5   6.8e-18 !   -
SRS015264_WUGC_scaffold_69572/5944-5833      -         FMN                  RF00050    cm        1      140        1      112      +    no    1 0.53   0.0   80.1   8.5e-18 !   -
scaffold38726_3_V1.UC-9/104-214              -         FMN                  RF00050    cm        1      140        1      111      +    no    1 0.52   0.0   79.6   1.2e-17 !   -
ADJS01015890.1/2425-2315                     -         FMN                  RF00050    cm        1      140        1      111      +    no    1 0.52   0.0   79.6   1.2e-17 !   -
SRS018427_C2289063/405-295                   -         FMN                  RF00050    cm        1      140        1      111      +    no    1 0.52   0.0   79.6   1.2e-17 !   -
UnmappedStool_Broad_scaffold_1068391/304-418 -         FMN                  RF00050    cm        1      140        1      115      +    no    1 0.49   0.0   78.2   2.9e-17 !   -
SRS016517_C20404915/634-519                  -         FMN                  RF00050    cm        1      140        1      116      +    no    1 0.47   0.0   78.1   3.1e-17 !   -
SRS023617_Baylor_scaffold_19354/3536-3369    -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   77.0   5.9e-17 !   -
SRS047210_WUGC_scaffold_22862/330-163        -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   77.0   5.9e-17 !   -
SRS021496_Baylor_scaffold_72294/3157-3324    -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   77.0   5.9e-17 !   -
SRS065278_LANL_scaffold_17763/3609-3440      -         FMN                  RF00050    cm        1      140        1      170      +    no    1 0.48   0.0   76.9   6.3e-17 !   -
UnmappedStool_Broad_scaffold_667899/322-208  -         FMN                  RF00050    cm        1      140        1      115      +    no    1 0.55   0.0   76.9   6.5e-17 !   -
SRS018591_WUGC_scaffold_15338/163-330        -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   76.7   7.3e-17 !   -
SRS062544_LANL_scaffold_45384/31-199         -         FMN                  RF00050    cm        1      140        1      169      +    no    1 0.49   0.0   76.1   1.1e-16 !   -
SRS014271_C2880618/174-342                   -         FMN                  RF00050    cm        1      140        1      169      +    no    1 0.49   0.0   76.1   1.1e-16 !   -
SRS016569_Baylor_scaffold_51475/7453-7286    -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   76.0   1.1e-16 !   -
SRS047824_WUGC_scaffold_34435/5180-5013      -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   76.0   1.1e-16 !   -
SRS013818_C2755725/487-654                   -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   76.0   1.1e-16 !   -
SRS017808_Baylor_scaffold_22062/1642-1475    -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   76.0   1.1e-16 !   -
SRS016342_C2788889/49-216                    -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.48   0.0   76.0   1.1e-16 !   -
SRS062761_C4147494/5-172                     -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   76.0   1.1e-16 !   -
SRS024081_C2526522/433-266                   -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   76.0   1.1e-16 !   -
SRS019327_C2782895/679-846                   -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   76.0   1.1e-16 !   -
SRS011086_WUGC_scaffold_42299/1340-1507      -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   76.0   1.1e-16 !   -
SRS016037_WUGC_scaffold_36068/336-169        -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   76.0   1.1e-16 !   -
SRS063193_C2785928/393-226                   -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   76.0   1.1e-16 !   -
SRS014573_C3636273/460-293                   -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   76.0   1.1e-16 !   -
SRS017076_C2656700/394-227                   -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   75.7   1.4e-16 !   -
SRS024637_C2292363/44-211                    -         FMN                  RF00050    cm        1      140        1      168      +    no    1 0.49   0.0   75.7   1.4e-16 !   -
SRS048791_LANL_scaffold_46877/171-336        -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.50   0.0   75.5   1.5e-16 !   -
SRS056622_LANL_scaffold_27807/413-248        -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.49   0.0   75.5   1.6e-16 !   -
SRS022077_Baylor_scaffold_34896/1803-1968    -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.49   0.0   75.1     2e-16 !   -
SRS012279_Baylor_scaffold_1213/3030-3195     -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.49   0.0   75.1     2e-16 !   -
SRS019027_C1885729/370-205                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.49   0.0   75.1     2e-16 !   -
SRS015209_C1788492/558-393                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.49   0.0   75.1     2e-16 !   -
SRS058336_LANL_scaffold_63964/1159-1324      -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.50   0.0   75.1     2e-16 !   -
SRS020856_C2639447/598-433                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.1     2e-16 !   -
SRS015893_WUGC_scaffold_25381/174-339        -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS018969_WUGC_scaffold_49616/938-1103       -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS021954_Baylor_scaffold_38775/174-339      -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS023835_Baylor_scaffold_39480/1277-1112    -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS057205_C3500627/327-492                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS015644_C1916006/152-317                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS015762_C3524397/518-353                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS016225_C2950868/599-434                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS020220_Baylor_scaffold_25105/169-334      -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS023352_LANL_scaffold_76195/240-75         -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS024277_C2785076/503-338                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS062540_LANL_scaffold_75537/246-81         -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS015395_C2402070/1613-1448                 -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.51   0.0   75.0     2e-16 !   -
SRS045715_LANL_scaffold_76192/38-203         -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.50   0.0   75.0     2e-16 !   -
SRS018439_C2300816/181-346                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.50   0.0   75.0     2e-16 !   -
SRS019127_C1567613/133-298                   -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.49   0.0   75.0     2e-16 !   -
SRS019122_C5915543/1669-1504                 -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.49   0.0   75.0     2e-16 !   -
SRS053854_LANL_scaffold_36145/169-334        -         FMN                  RF00050    cm        1      140        1      166      +    no    1 0.50   0.0   75.0     2e-16 !   -
